repo,issue_number,text,label_human,alternative,label_claude,reasoning_claude,evidence_claude,
OpenBB-finance/OpenBB,5213,"[title] [bug] `stocks/ta/ema --export` ema values are not exported, only ""adj close"" and ""date"".
[issue]
to recreate,

```
/stocks/ta/ $ ema --length 10,20,30 --export csv
```
[issue_comments] ""same issue, /forex/ta/ema. also the filename gets ""stocks"" inserted into it despite being from the forex path."", ""ditto that on everywhere else, stocks/crypto.  the headers are created, but the data is missing."", ""hi is anyone working on this? can i work on it?"", ""@tehcoderer is this patched somewhere in another pr?"", ""following up on this, @tehcoderer, if you do: `/stocks/load aapl/ta/ema 50,150 --export csv`

you get an exported file where the 50 day ema is truncated to begin at row 151 instead of the full column of data beginning at row 51.""",END_TO_END,,SERVICE,"This is a data export logic bug within the EMA calculation component that affects multiple contexts (stocks, forex, crypto). The issue can be validated through isolated service-level tests that verify the export function correctly includes all calculated EMA values and proper column headers without requiring full system integration.","The bug manifests consistently across different modules (stocks/ta/ema, forex/ta/ema, crypto) with the same symptom: headers are created but data is missing or truncated. The 50-day EMA being truncated at row 151 instead of row 51 indicates a clear logic error in the export function.",
OpenBB-finance/OpenBB,2024,"[title] [bug] /portfolio/po/params - default.ini contains invalid parameters - i.e. 5% instead of 0.05
[issue]
loading the `deafult.ini` file in the portfolio optimization menu creates the error:
```
error: argument -mn/--maxnan: invalid float value: '5%'
```
[issue_comments] ""i could not recreate this.

what portfolio did you use?"", ""thanks! managed to recreate it and fix it""",service,,SERVICE,This is a configuration validation issue that can be reliably tested at the service level by validating parameter parsing logic with various input formats. The bug involves incorrect parameter format in a configuration file that should be caught by input validation before any cross-system interaction occurs.,loading the `deafult.ini` file in the portfolio optimization menu creates the error: argument -mn/--maxnan: invalid float value: '5%',
OpenBB-finance/OpenBB,1583,"[title] [bug] stocks/disc/divcal freezes the terminal
[issue]
**describe the bug**
`stocks/disc/divcal -l 2` freezes the terminal

**to reproduce**
`stocks/disc/divcal -l 2`

**desktop (please complete the following information):**

- os: macos 12
- python version: 3.8
[issue_comments] ""looks like it doesn't freeze on :
- os : windows
- python version : 3.8"", ""tested on my side and it worked fine.

os : macos
python version : 3.9"", ""do you still have the issue ?"", ""not anymore, but i need to check in a packaged app. i'll close the issue if it works in the package"", ""yep. the issue is still there. the request freezes. i've added a timeout to bypass it, but will debug a bit further""",Manual,,MANUAL,"This is an environment-specific issue that only manifests on macOS 12 with Python 3.8, while working fine on Windows and macOS with Python 3.9. The intermittent nature and platform-dependency make it impractical for reliable automation.","The bug only occurs on 'os: macos 12' with 'python version: 3.8' but 'doesn't freeze on windows' and 'worked fine' on 'os: macos python version: 3.9', indicating a rare environment-specific combination.",
OpenBB-finance/OpenBB,4880,"[title] [bug] news table prints datetimes as integers
[issue]
**describe the bug**

the table with news articles (feedparser source) shows artcle publishing date as integer

**to reproduce**
`news openai`

**screenshots**

**desktop (please complete the following information):**

openbb python env with latest develop
[issue_comments] ""im on this one""",END_TO_END,"?
Service",SERVICE,This is a straightforward data formatting issue within a single component where the news table incorrectly renders datetime values as integers instead of formatted dates. This can be reliably tested at the service level by validating the table's output format with controlled test data.,the table with news articles (feedparser source) shows artcle publishing date as integer,
OpenBB-finance/OpenBB,2107,"[title] [bug] candle - when `--source polygon`, time for intraday ticks is incorrect.
[issue]
the time printed from intraday candles using polygon as the `--source` is not translating correctly.

my tz is set for est, and this is a chart from today, 12:17 pm est. the time displayed on the chart appears to be utc.

```
load obe -i 1 --source polygon
candle
```",service,,SERVICE,This is a timezone conversion defect in the polygon data source adapter that can be validated in isolation by testing the time translation logic with controlled inputs and verifying correct timezone handling without requiring full system integration.,the time printed from intraday candles using polygon as the `--source` is not translating correctly. my tz is set for est... the time displayed on the chart appears to be utc.,
actualbudget/actual,3934,"[title] [bug]: auto split payee always leaves out $.02
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue
- [x] i will be providing steps how to reproduce the bug (in most cases this will also mean uploading a demo budget file)

### what happened?

this happens with scheduled or payee's that have split rules. it creates the split categories correctly but for some reason always leaves out $.02. in this example, it's stuck because it's a schedule rule that hasn't happened yet. can't fix this error or add split until it posts.

in other cases, i'm able to fix it, but it happens every time.

### where are you hosting actual?

pikapods

### what browsers are you seeing the problem on?

firefox

### operating system

windows 11
[issue_comments] ""@jfdoming can you look into this?""",service,,SERVICE,This is a calculation logic error in the auto-split payee feature that consistently produces incorrect amounts. It can be validated through isolated service-level tests with controlled inputs to verify split calculation logic without requiring full system integration.,it creates the split categories correctly but for some reason always leaves out $.02... it happens every time,
actualbudget/actual,6167,"[title] [bug]: schedules stuck on loading wheel
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue

### what happened?

schedules tab doesn't load my schedules. all submenu-items are still working fine (payees, rules, tags, settings). actualbudget is hosted via pikapods, used different devices and different browsers.

i'm not entirely sure at what specific point triggered this issue. i believe it was when i was trying to use the ""post transaction"" action button via schedules page. but clicking on it didn't do anything, so i kept clicked on the other action buttons. somehow, maybe this may be the cause of this bug?

on a separate related issue, rules cannot be deleted now because it says its associated with linked schedules.

### how can we reproduce the issue?

i don't know what triggered it.

### where are you hosting actual?

pikapods

### what browsers are you seeing the problem on?

firefox, chrome

### operating system

macos/ ios.
[issue_comments] ""are there any errors in the browser logs?"", ""hm, they're not related to actual. can you try reloading the schedules page while the console is open?"", ""sure, does this help?"", ""yes, that is good, thanks. i've put a fix up at  once the deploy preview is built ( try uploading your budget to it and see if you can access your schedules there.

essentially, one of your schedules is broken. you might be able to find which one by checking the linked rules and finding which is missing it's conditions.""",END_TO_END,,SERVICE,This is a data validation issue where a malformed schedule entity (missing conditions) causes the schedules page to fail loading. This can be prevented by service-level validation that ensures schedule entities maintain required fields and structural integrity before persistence.,"essentially, one of your schedules is broken. you might be able to find which one by checking the linked rules and finding which is missing it's conditions.",
actualbudget/actual,6341,"[title] [bug]: date format interfering with filters
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue

### what happened?

when selecting a date format other than mm/dd/yyyy or dd/mm/yyyy, filtering by month only accepts input in mm/yyyy format. although the filter is visually rendered in the user's selected date format (eg 2025-11), clicking on the filter to modify it always forces the date into mm/yyyy format. however, the input will only accept the user's preferred date format (eg yyyy-mm), so altering the pre-filled input (always mm/yyyy) will result in an error.

### how can we reproduce the issue?

please view the below video:

### where are you hosting actual?

bug is reproducible on

### what browsers are you seeing the problem on?

brave

### operating system

mac osx",Manual,,SERVICE,This is a date format parsing and validation logic issue within a single component's filter functionality. It can be tested in isolation by verifying the filter accepts input matching the user's selected date format preference without requiring full UI rendering or cross-system integration.,"The filter is visually rendered in the user's selected date format (eg 2025-11), clicking on the filter to modify it always forces the date into mm/yyyy format. However, the input will only accept the user's preferred date format (eg yyyy-mm), so altering the pre-filled input (always mm/yyyy) will result in an error.",
actualbudget/actual,1747,"[title] [bug]: schedules using the amount between option don't work with templates
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue

### what happened?

if i set a schedule amount to be between two values instead of an approximate value, nothing happens when using the schedule template.

### what error did you receive?

_no response_

### where are you hosting actual?

none

### what browsers are you seeing the problem on?

_no response_

### operating system

none",END_TO_END,,SERVICE,This is a logic defect in the schedule template processing component where the 'amount between' option is not being correctly handled. The issue can be validated in isolation by testing the schedule template service with different amount configurations without requiring full system integration.,"if i set a schedule amount to be between two values instead of an approximate value, nothing happens when using the schedule template.",
actualbudget/actual,316,"[title] duplicate account names should not be possible.
[issue_comments] ""can confirm you can have duplicate account names screenshot"", ""i've made a pr for this issue as you can see above ^ i figure the simplest way to deal with this is just to add a validation rule when creating accounts."", ""👋 may i ask: why not? why should i not be able to have two accounts with the same name if i wanted to?

for example: i might have multiple accounts with the same bank. but these accounts might be of different types: checking, savings, mortgage, investments."", ""> 👋 may i ask: why not? why should i not be able to have two accounts with the same name if i wanted to?
>
>
>
> for example: i might have multiple accounts with the same bank. but these accounts might be of different types: checking, savings, mortgage, investments.

how would this work for things like importing? how would you differentiate between the two accounts in a drop down?

if i look in my bank i have my bank called **starling** but inside that is **current account** and **savings account**

having two accounts in the account register with the same name will become confusing."", ""> having two accounts in the account register with the same name will become confusing

agreed, i name mine “usaa checking” and “usaa savings” to disambiguate.

since people might already have duplicate account names i think we should just block any new attempts to save an account name that’s already used rather than having some preemptive approach.""",service,,SERVICE,This is a straightforward business rule validation that should be enforced at the service/component level when creating or updating accounts. The validation logic can be tested in isolation with controlled data without requiring full system integration.,i figure the simplest way to deal with this is just to add a validation rule when creating accounts. we should just block any new attempts to save an account name that's already used.,
actualbudget/actual,2682,"[title] [bug]: refreshing loses the previously active page
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue
- [x] i will be providing steps how to reproduce the bug (in most cases this will also mean uploading a demo budget file)

### what happened?

refreshing the page causes always causes the budget page to load. there is also a flash of the ""budget files"" screen for a split second.

reproduction:
1. create a test budget
2. open the transaction or report page
3. refresh the page
4. you will land on the budget page

### where are you hosting actual?

none

### what browsers are you seeing the problem on?

_no response_

### operating system

none",service,,END_TO_END,"This bug involves navigation state management across page refreshes, requiring validation of routing behavior, session persistence, and the interaction between the browser, frontend routing logic, and backend state. A service-level test cannot reliably reproduce the full browser refresh lifecycle and URL handling.",refreshing the page causes always causes the budget page to load. there is also a flash of the 'budget files' screen for a split second.,
actualbudget/actual,4026,"[title] [bug]: creating a new payee as part of creating a new rule fails
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue

### what happened?

having accidentally 'merged' a payee by applying a rule i was trying to recreate the original rule for future use. i type in the payee name for matching - this cannot automcomplete because the payee no longer exists. i selected 'create new payee', but the payee that is created is not the one i requested, it is simply called 'new'.

### how can we reproduce the issue?

follow the workflow as described above, or shown here:

create a rule for a payee that doesn't currently exist, and click 'create payee' when prompted

observe that the payee that gets created has the wrong name

validating that it's not just a graphical glitch from a separate view

observe that the same thing has been happening previously

### where are you hosting actual?

pikapods

### what browsers are you seeing the problem on?

desktop app (electron)

### operating system

mac osx
[issue_comments] ""i tested this in v24.11.0 and again in v24.12.0 using the desktop app on macos, as well as in v24.11.0 using the web ui, and in all three cases the created payee was what i requested.

i get the same (successful) results whether i create the payee by clicking or hitting enter.

you didn't say; what version are you using?"", ""whatever pikapods is currently on - which is client 24.9.0 and server 24.12.0 today.

having tested more today i can refine the profile a bit further though - the bug doesn't happen if i use a 'payee is' rule, but it does if i choose 'payee one of'."", ""i can reproduce the bug on client version v24.12.0 locally, but only with ""payee one of"", not with ""payee is"", as described by the comment before.

this seems like a good first issue that i would like to tackle if nobody minds?"", ""ah, yes, ""payee one of"" is broken, i missed that in the first screenshot!

@sveselinovic it seems the way to get ""dibs"" on an issue is to create a pr. other than that, they don't assign issues.""",service,,SERVICE,This is a clear logic bug in the rule creation service where the 'payee one of' condition incorrectly creates a payee named 'new' instead of using the requested name. The issue is isolated to a specific component's business logic and can be reliably tested with controlled inputs without requiring full system integration.,"The bug doesn't happen if i use a 'payee is' rule, but it does if i choose 'payee one of'. This is reproducible locally on client version v24.12.0 with the specific condition type.",
actualbudget/actual,937,"[title] [bug]: j/k ledger navigations no longer work
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue

### what happened?

ever since release 23.4.1 using j/k to navigate down/up account ledgers doesn't work.  arrow keys still work.  its not a big deal, but my docs pr that called this out got merged today.  i like having the option to use j/k to move around since its quick.

### what error did you receive?

_no response_

### where are you hosting actual?

nas

### what browsers are you seeing the problem on?

firefox, chrome

### operating system

linux
[issue_comments] ""works fine in 649b4c90e036bc4c6637fa7eebc541c06258fd45, bisecting…"", ""i tried the netlify deploys of 23.4.2 and 23.4.1 and neither of them worked for me, but 23.4.0 did.  if that helps"", ""#939!"", ""cool, ill give that a try""",Manual,,MANUAL,"This is a browser-specific keyboard navigation regression that requires exploratory testing across multiple browsers and environments. The issue is environment-dependent (Firefox, Chrome, Linux) and involves user interaction patterns that are difficult to reliably automate without high maintenance cost.","ever since release 23.4.1 using j/k to navigate down/up account ledgers doesn't work. arrow keys still work. what browsers are you seeing the problem on? firefox, chrome",
