repo,issue_number,text,label_human,alternative
OpenBB-finance/OpenBB,5213,"[title] [bug] `stocks/ta/ema --export` ema values are not exported, only ""adj close"" and ""date"".
[issue]
to recreate,

```
/stocks/ta/ $ ema --length 10,20,30 --export csv
```
[issue_comments] ""same issue, /forex/ta/ema. also the filename gets ""stocks"" inserted into it despite being from the forex path."", ""ditto that on everywhere else, stocks/crypto.  the headers are created, but the data is missing."", ""hi is anyone working on this? can i work on it?"", ""@tehcoderer is this patched somewhere in another pr?"", ""following up on this, @tehcoderer, if you do: `/stocks/load aapl/ta/ema 50,150 --export csv`

you get an exported file where the 50 day ema is truncated to begin at row 151 instead of the full column of data beginning at row 51.""",End-to-End,
OpenBB-finance/OpenBB,2024,"[title] [bug] /portfolio/po/params - default.ini contains invalid parameters - i.e. 5% instead of 0.05
[issue]
loading the `deafult.ini` file in the portfolio optimization menu creates the error:
```
error: argument -mn/--maxnan: invalid float value: '5%'
```
[issue_comments] ""i could not recreate this.

what portfolio did you use?"", ""thanks! managed to recreate it and fix it""",service,
OpenBB-finance/OpenBB,1583,"[title] [bug] stocks/disc/divcal freezes the terminal
[issue]
**describe the bug**
`stocks/disc/divcal -l 2` freezes the terminal

**to reproduce**
`stocks/disc/divcal -l 2`

**desktop (please complete the following information):**

- os: macos 12
- python version: 3.8
[issue_comments] ""looks like it doesn't freeze on :
- os : windows
- python version : 3.8"", ""tested on my side and it worked fine.

os : macos
python version : 3.9"", ""do you still have the issue ?"", ""not anymore, but i need to check in a packaged app. i'll close the issue if it works in the package"", ""yep. the issue is still there. the request freezes. i've added a timeout to bypass it, but will debug a bit further""",Manual,
OpenBB-finance/OpenBB,4880,"[title] [bug] news table prints datetimes as integers
[issue]
**describe the bug**

the table with news articles (feedparser source) shows artcle publishing date as integer

**to reproduce**
`news openai`

**screenshots**

**desktop (please complete the following information):**

openbb python env with latest develop
[issue_comments] ""im on this one""",End-to-End,"?
Service"
OpenBB-finance/OpenBB,2107,"[title] [bug] candle - when `--source polygon`, time for intraday ticks is incorrect.
[issue]
the time printed from intraday candles using polygon as the `--source` is not translating correctly.

my tz is set for est, and this is a chart from today, 12:17 pm est. the time displayed on the chart appears to be utc.

```
load obe -i 1 --source polygon
candle
```",service,
actualbudget/actual,3934,"[title] [bug]: auto split payee always leaves out $.02
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue
- [x] i will be providing steps how to reproduce the bug (in most cases this will also mean uploading a demo budget file)

### what happened?

this happens with scheduled or payee's that have split rules. it creates the split categories correctly but for some reason always leaves out $.02. in this example, it's stuck because it's a schedule rule that hasn't happened yet. can't fix this error or add split until it posts.

in other cases, i'm able to fix it, but it happens every time.

### where are you hosting actual?

pikapods

### what browsers are you seeing the problem on?

firefox

### operating system

windows 11
[issue_comments] ""@jfdoming can you look into this?""",service,
actualbudget/actual,6167,"[title] [bug]: schedules stuck on loading wheel
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue

### what happened?

schedules tab doesn't load my schedules. all submenu-items are still working fine (payees, rules, tags, settings). actualbudget is hosted via pikapods, used different devices and different browsers.

i'm not entirely sure at what specific point triggered this issue. i believe it was when i was trying to use the ""post transaction"" action button via schedules page. but clicking on it didn't do anything, so i kept clicked on the other action buttons. somehow, maybe this may be the cause of this bug?

on a separate related issue, rules cannot be deleted now because it says its associated with linked schedules.

### how can we reproduce the issue?

i don't know what triggered it.

### where are you hosting actual?

pikapods

### what browsers are you seeing the problem on?

firefox, chrome

### operating system

macos/ ios.
[issue_comments] ""are there any errors in the browser logs?"", ""hm, they're not related to actual. can you try reloading the schedules page while the console is open?"", ""sure, does this help?"", ""yes, that is good, thanks. i've put a fix up at  once the deploy preview is built ( try uploading your budget to it and see if you can access your schedules there.

essentially, one of your schedules is broken. you might be able to find which one by checking the linked rules and finding which is missing it's conditions.""",End-to-End,
actualbudget/actual,6341,"[title] [bug]: date format interfering with filters
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue

### what happened?

when selecting a date format other than mm/dd/yyyy or dd/mm/yyyy, filtering by month only accepts input in mm/yyyy format. although the filter is visually rendered in the user's selected date format (eg 2025-11), clicking on the filter to modify it always forces the date into mm/yyyy format. however, the input will only accept the user's preferred date format (eg yyyy-mm), so altering the pre-filled input (always mm/yyyy) will result in an error.

### how can we reproduce the issue?

please view the below video:

### where are you hosting actual?

bug is reproducible on

### what browsers are you seeing the problem on?

brave

### operating system

mac osx",Manual,
actualbudget/actual,1747,"[title] [bug]: schedules using the amount between option don't work with templates
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue

### what happened?

if i set a schedule amount to be between two values instead of an approximate value, nothing happens when using the schedule template.

### what error did you receive?

_no response_

### where are you hosting actual?

none

### what browsers are you seeing the problem on?

_no response_

### operating system

none",End-to-End,
actualbudget/actual,316,"[title] duplicate account names should not be possible.
[issue_comments] ""can confirm you can have duplicate account names screenshot"", ""i've made a pr for this issue as you can see above ^ i figure the simplest way to deal with this is just to add a validation rule when creating accounts."", ""👋 may i ask: why not? why should i not be able to have two accounts with the same name if i wanted to?

for example: i might have multiple accounts with the same bank. but these accounts might be of different types: checking, savings, mortgage, investments."", ""> 👋 may i ask: why not? why should i not be able to have two accounts with the same name if i wanted to?
>
>
>
> for example: i might have multiple accounts with the same bank. but these accounts might be of different types: checking, savings, mortgage, investments.

how would this work for things like importing? how would you differentiate between the two accounts in a drop down?

if i look in my bank i have my bank called **starling** but inside that is **current account** and **savings account**

having two accounts in the account register with the same name will become confusing."", ""> having two accounts in the account register with the same name will become confusing

agreed, i name mine “usaa checking” and “usaa savings” to disambiguate.

since people might already have duplicate account names i think we should just block any new attempts to save an account name that’s already used rather than having some preemptive approach.""",service,
actualbudget/actual,2682,"[title] [bug]: refreshing loses the previously active page
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue
- [x] i will be providing steps how to reproduce the bug (in most cases this will also mean uploading a demo budget file)

### what happened?

refreshing the page causes always causes the budget page to load. there is also a flash of the ""budget files"" screen for a split second.

reproduction:
1. create a test budget
2. open the transaction or report page
3. refresh the page
4. you will land on the budget page

### where are you hosting actual?

none

### what browsers are you seeing the problem on?

_no response_

### operating system

none",service,
actualbudget/actual,4026,"[title] [bug]: creating a new payee as part of creating a new rule fails
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue

### what happened?

having accidentally 'merged' a payee by applying a rule i was trying to recreate the original rule for future use. i type in the payee name for matching - this cannot automcomplete because the payee no longer exists. i selected 'create new payee', but the payee that is created is not the one i requested, it is simply called 'new'.

### how can we reproduce the issue?

follow the workflow as described above, or shown here:

create a rule for a payee that doesn't currently exist, and click 'create payee' when prompted

observe that the payee that gets created has the wrong name

validating that it's not just a graphical glitch from a separate view

observe that the same thing has been happening previously

### where are you hosting actual?

pikapods

### what browsers are you seeing the problem on?

desktop app (electron)

### operating system

mac osx
[issue_comments] ""i tested this in v24.11.0 and again in v24.12.0 using the desktop app on macos, as well as in v24.11.0 using the web ui, and in all three cases the created payee was what i requested.

i get the same (successful) results whether i create the payee by clicking or hitting enter.

you didn't say; what version are you using?"", ""whatever pikapods is currently on - which is client 24.9.0 and server 24.12.0 today.

having tested more today i can refine the profile a bit further though - the bug doesn't happen if i use a 'payee is' rule, but it does if i choose 'payee one of'."", ""i can reproduce the bug on client version v24.12.0 locally, but only with ""payee one of"", not with ""payee is"", as described by the comment before.

this seems like a good first issue that i would like to tackle if nobody minds?"", ""ah, yes, ""payee one of"" is broken, i missed that in the first screenshot!

@sveselinovic it seems the way to get ""dibs"" on an issue is to create a pr. other than that, they don't assign issues.""",service,
actualbudget/actual,937,"[title] [bug]: j/k ledger navigations no longer work
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue

### what happened?

ever since release 23.4.1 using j/k to navigate down/up account ledgers doesn't work.  arrow keys still work.  its not a big deal, but my docs pr that called this out got merged today.  i like having the option to use j/k to move around since its quick.

### what error did you receive?

_no response_

### where are you hosting actual?

nas

### what browsers are you seeing the problem on?

firefox, chrome

### operating system

linux
[issue_comments] ""works fine in 649b4c90e036bc4c6637fa7eebc541c06258fd45, bisecting…"", ""i tried the netlify deploys of 23.4.2 and 23.4.1 and neither of them worked for me, but 23.4.0 did.  if that helps"", ""#939!"", ""cool, ill give that a try""",Manual,
actualbudget/actual,4082,"[title] [bug]: after change account name, payee name autocompletes with old name instead of updated name
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue

### what happened?

after changing an account name, the payee dropdown still autocompletes to the previous account name instead of the new one.

### how can we reproduce the issue?

make a new budget, make two accounts, change one account name, try to transfer into that account and see that the unchanged name populates.

### where are you hosting actual?

fly.io

### what browsers are you seeing the problem on?

firefox, safari, desktop app (electron)

### operating system

mac osx
[issue_comments] ""does refreshing the window fix the issue, or does it persist across sessions?"", ""clearing cache and refreshing the window fixed the issue!"", ""@youngcw unless a pr actually fixed this, this bug is still open.  i asked that question to confirm that the autocomplete cache was misbehaving, and it sounds like it is.""",service,
actualbudget/actual,3688,"[title] [bug]: copy last month's budget not working
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue
- [x] i will be providing steps how to reproduce the bug (in most cases this will also mean uploading a demo budget file)

### what happened?

i am using tracking budget (might not be a bug for envelope).

normally, i go to the next month around now (half way through the current month) and copy the budget over, using ""copy last months budget"" in the menu:

when i try that now, nothing happens. no errors in the js console.  literally nothing.  just stays as zero's.

i can select the last option and set it to the 3 month average, and that works. and then i can select the second and zero it back out.  but the first option does nothing at all.

### where are you hosting actual?

docker

### what browsers are you seeing the problem on?

chrome

### operating system

mac osx
[issue_comments] ""ok interesting follow-up: if i manually set some value in november, i can 'copy last months budget' in december and it copies it over.

so only november is broken..."", ""first, there would be no ""compatability issue"" between the server in docker and running the client in mac. if there was any incompatibility, it would simply be the fact the client is running on mac.

second, why would it be a ""right time"" issue? i already mentioned i tried it ""in the middle of the month"".  but why would other months copy just fine and not this single month?"", ""@psybers what happens if you switch to the envelope budget and add in a budget for october, then switch back to tracking and do the copy?"", ""@youngcw ohhhh fun. so if i do that, it copies the envelope's budget over and not the tracking budget!"", ""it does that in the edge deploy too.  i don't know what would have broke that, or if its just some weird edge case that just happened to come out this month""",service,
actualbudget/actual,971,"[title] [bug]: mobile - first day of the week
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue

### what happened?

styling could be improved.
scrunched up layout on mobile and on desktop at narrow widths with the sidebar open.

### what error did you receive?

_no response_

### where are you hosting actual?

none

### what browsers are you seeing the problem on?

_no response_

### operating system

none
[issue_comments] ""i keep seeing this over in #964 . i’ll find the right breakpoint and fix it there, since i’m already messing with the settings styles.""",service,
actualbudget/actual,3339,"[title] [bug]: long payee name overflows in transcations table
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue
- [x] i will be providing steps how to reproduce the bug (in most cases this will also mean uploading a demo budget file)

### what happened?

### where are you hosting actual?

fly.io

### what browsers are you seeing the problem on?

chrome, other

### operating system

windows 11",service,
actualbudget/actual,2856,"[title] [bug]: schedules are missing highlight color in transaction table
[issue]
### verified issue does not already exist?

- [x] i have searched and found no existing issue
- [x] i will be providing steps how to reproduce the bug (in most cases this will also mean uploading a demo budget file)

### what happened?

when selected - schedules should have the same blue background as regular transactions.

### where are you hosting actual?

none

### what browsers are you seeing the problem on?

_no response_

### operating system

none",Manual,
actualbudget/actual,406,"[title] [bug]: date filtering by month triggers crash
[issue]
### verified issue does not already exist?

i have searched and found no existing issue

### what happened?

see below video. in accounts: filter > date > change date to month > rangeerror

additionally, we should be consistent in the date format used for filtering date, month and year and converting between them should pick a sane value based on the previous selection.
**currently**
date: yyyy/mm/dd
month: mm/yyyy
year:

**ideally**
date: yyyy/mm/dd
month: yyyy/mm
year: yyyy

### what error did you receive?

rangeerror: invalid time value
format
node_modules/date-fns/esm/format/index.js:363

  360 | var originaldate = todate(dirtydate);
  361 |
  362 | if (!isvalid(originaldate)) {
> 363 |   throw new rangeerror('invalid time value');
      | ^  364 | } // convert the date in system timezone to the same date in utc+00:00 timezone.
  365 | // this ensures that when utc functions will be implemented, locales will be compatible with them.
  366 | // see an issue about utc functions:

### where are you hosting actual?

locally via yarn

### what browsers are you seeing the problem on?

firefox

### operating system

windows 10
[issue_comments] ""this is odd in that personally i cannot reproduce this crash. i have tried in both firefox, chrome and safari.
edit - i am in mac not windows"", ""this can be fixed editing this file:

adding an if:

```
              if (date instanceof date && !isnan(date)) {
                onselect(d.format(date, 'yyyy-mm-dd'));
              }
```""",End-to-End,"?
Service"
beancount/fava,1678,"[title] 1.26 regression: account listings with umlaut are now empty
[issue]
a second regression i noticed in 1.26: when an account name includes a german umlaut, the account page is now empty. for example:

`

both the table and the charts are empty. the heading (blue bar at the top) shows `aufw%c3%a4nde:30-haushalt` instead of `aufwände:30-haushalt` as the account name. maybe the account name is just url-encoded too early. or it’s never url-decoded.

also, on the balance sheet and income statement, these accounts show up just fine with their correct numbers. only the `/account/` page appears to be broken.

i have tested an account named ""jahresüberschuss"" and two whole classes of accounts starting with ""erträge:"" and ""aufwände:"". when i remove the ü/ä from the account names, fava works fine.

version 1.25 did not have this problem. the dev tools console in firefox shows no messages. i have just verifed the bug with fava 1.25 and fava 1.26 right after each other with the same firefox, so apparently it’s not browser behavior.
[issue_comments] ""i can confirm this as well; my accounts containing swedish letters 'åäö' is now broken in the account page."", ""same here using åäö in account names. tested in several different browsers in macos, ios and windows with the same result. downgraded back to 1.25 and the problem is gone."", ""i managed to get the account reports working by changing this line. or rather the corresponding line in the compiled .js-file. where the account variable was actually called account2... i won't even pretend to understand how web development works :sweat_smile:

from:
```
      a: account,
```
to:
```
      a: decodeuri(account),
```

this gets the account page working again, but the account name is still url-encoded in the heading as @mjochim described, so this is not the complete fix, but hopefully it helps someone with better understanding of this stuff to come up with a proper fix."", ""@fredrik-eriksson based on what you did i found out how to fix both the heading and the journal. i know how web development works, in general, but i’m not familiar with svelte. also, i don't know if @yagebu has any plans of bigger changes to this code, but i’ll prepare a pr and we’ll see if he likes it."", ""thanks for the report and for providing the fix :)""",service,
